Year,Rank,Title,Artist,genres,popularity,first_year
2012,27,Mercy,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,
2012,54,No Lie,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,
2013,99,I'm Different,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,
2017,48,Bank Account,21 Savage,"['atl hip hop', 'rap']",94,
2019,42,A Lot,21 Savage,"['atl hip hop', 'rap']",94,
2020,47,Mood,24kGoldn,"['cali rap', 'pop', 'pop rap', 'rap']",75,
2021,4,Mood,24kGoldn,"['cali rap', 'pop', 'pop rap', 'rap']",75,
2020,57,We Paid,42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']",74,
2014,86,Amnesia,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']",80,
2014,93,She Looks So Perfect,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']",80,
2018,36,Youngblood,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']",80,
2019,33,Youngblood,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']",80,
2018,31,Fefe,6ix9ine,"['emo rap', 'rap', 'trap']",74,
2018,56,Gummo,6ix9ine,"['emo rap', 'rap', 'trap']",74,
2021,33,Calling My Phone,6lack,"['atl hip hop', 'hip hop', 'melodic rap', 'pop', 'r&b', 'rap', 'trap']",78,
2017,81,Drowning,A Boogie wit da Hoodie,"['melodic rap', 'rap', 'trap']",85,
2019,41,Look Back at It,A Boogie wit da Hoodie,"['melodic rap', 'rap', 'trap']",85,
2019,82,Swervin,A Boogie wit da Hoodie,"['melodic rap', 'rap', 'trap']",85,
2014,17,Say Something,A Great Big World,"['neo mellow', 'piano rock', 'pop rock']",64,
2013,91,Bugatti,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",63,
2022,24,We Don't Talk About Bruno,Adassa,"['latin hip hop', 'reggaeton']",63,
2012,71,Rolling in the Deep,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2012,64,Rumour Has It,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2012,12,Set Fire to the Rain,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2012,43,Someone like You,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2015,35,Hello,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2016,7,Hello,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2016,26,Send My Love (To Your New Lover),Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2016,83,When We Were Young,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2017,88,Water Under the Bridge,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2022,4,Easy on Me,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2022,72,Oh My God,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,
2021,56,Bang!,AJR,"['modern rock', 'pop rock']",77,
2015,94,Here,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",77,
2016,39,Here,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",77,
2017,30,Scars to Your Beautiful,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",77,
2017,17,Stay,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",77,
2012,30,Too Close,Alex Clare,['modern alternative rock'],55,
2013,49,Girl on Fire,Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",80,
2014,48,The Man,Aloe Blacc,"['neo soul', 'pop soul', 'r&b']",68,
2015,59,You Know You Like It,AlunaGeorge,"['electropop', 'house', 'tropical house']",64,
2014,31,Best Day of My Life,American Authors,"['indie poptimism', 'modern rock', 'pop rock']",68,
2017,60,Caroline,Amine,"['hip hop', 'pop', 'portland hip hop', 'rap']",70,
2015,25,"Honey, I'm Good.",Andy Grammer,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",72,
2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,['hollywood'],66,
2018,26,Friends,Anne-Marie,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",80,
2013,31,The Way,Ariana Grande,"['dance pop', 'pop']",92,
2014,27,Bang Bang,Ariana Grande,"['dance pop', 'pop']",92,
2014,37,Break Free,Ariana Grande,"['dance pop', 'pop']",92,
2014,9,Problem,Ariana Grande,"['dance pop', 'pop']",92,
2015,80,Bang Bang,Ariana Grande,"['dance pop', 'pop']",92,
2015,56,Love Me Harder,Ariana Grande,"['dance pop', 'pop']",92,
2015,67,One Last Time,Ariana Grande,"['dance pop', 'pop']",92,
2016,36,Dangerous Woman,Ariana Grande,"['dance pop', 'pop']",92,
2016,51,Into You,Ariana Grande,"['dance pop', 'pop']",92,
2016,77,Side to Side,Ariana Grande,"['dance pop', 'pop']",92,
2017,43,Side to Side,Ariana Grande,"['dance pop', 'pop']",92,
